Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Low Places,Home Care High Places,Transition Care Places,Provider Name,Organisation Type,ABS Remoteness,2014-15 Australian Government Funding
Aloaka Lodge - EACH,52 Taylor Street,,KILCOY,QLD,4515,Cabool,Home Care Places,,25,10,,Sundale Ltd,Community Based,Inner Regional Australia,"$237,834"
Alpha and Jericho Multipurpose Health Service,3 Gordon Street,,ALPHA,QLD,4724,Central West,Multi-Purpose Service,5,,,,Queensland Health,State Government,Very Remote Australia,"$256,791"
Alphington Aged Care,9 Old Heidelberg Road,,ALPHINGTON,VIC,3078,Northern Metro,Residential,45,,,,Mali Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,555,526"
Alpine - Bright MPS,26-32 Cobden Street,,BRIGHT,VIC,3741,Hume,Multi-Purpose Service,45,,,,Alpine Health,State Government,Outer Regional Australia,"$1,849,122"
Alpine - Mount Beauty MPS,2-8 Hollonds Street,,MOUNT BEAUTY,VIC,3699,Hume,Multi-Purpose Service,25,,,,Alpine Health,State Government,Outer Regional Australia,"$1,192,124"
Alpine - Myrtleford MPS,30  ODONNELL AVENUE,,MYRTLEFORD,VIC,3737,Hume,Multi-Purpose Service,35,,,,Alpine Health,State Government,Inner Regional Australia,"$1,558,986"
Alpine Health Community Care Program,30 O'Donnell Avenue,,MYRTLEFORD,VIC,3737,Hume,Home Care Places,,25,,,Alpine Health,State Government,Inner Regional Australia,"$295,917"
Alpurrurulam Aged Care Program,Antyiper Street,,ALPURRURULAM COMMUNITY,NT,872,Barkly,Home Care Places,,9,,,Barkly Regional Council,Local Government,Very Remote Australia,"$122,923"
Alstonville Adventist Aged Care Facility,77 Pearces Creek Road,,ALSTONVILLE,NSW,2477,Far North Coast,Residential,51,,,,Seventh-day Adventist Aged Care (North New South Wales) Ltd,Charitable,Inner Regional Australia,"$2,339,565"
Alton Lodge,549-551 Freemans Drive,,COORANBONG,NSW,2265,Hunter,Residential,40,,,,Seventh-day Adventist Aged Care (North New South Wales) Ltd,Charitable,Major Cities of Australia,"$1,744,438"
Altona Nursing Home,40 Henrietta Street,,WAVERLEY,NSW,2024,South East Sydney,Residential,26,,,,L & D Management Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$1,457,264"
Alwyndor Aged Care,52 Dunrobin Road,,HOVE,SA,5048,Metropolitan South,Residential,134,,,,City of Holdfast Bay,Local Government,Major Cities of Australia,"$7,170,513"
Alwyndor Care Packages,52 Dunrobin Road,,HOVE,SA,5048,Metropolitan South,Home Care Places,,81,11,,City of Holdfast Bay,Local Government,Major Cities of Australia,"$1,458,349"
Alwyndor Community Services - EACH Packages,52 Dunrobin Road,,HOVE,SA,5048,Metropolitan South,Home Care Places,,,10,,City of Holdfast Bay,Local Government,Major Cities of Australia,"$480,439"
Alwyndor Community Services EACH Dementia Packages,52 Dunrobin Road,,HOVE,SA,5048,Metropolitan South,Home Care Places,,,8,,City of Holdfast Bay,Local Government,Major Cities of Australia,"$412,587"
Amana Living EACH Dementia - Metro North,489 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan North,Home Care Places,,,52,,Amana Living Incorporated,Religious,Major Cities of Australia,"$1,928,197"
Amana Living EACH Dementia - Metro South East,416 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan South East,Home Care Places,,,32,,Amana Living Incorporated,Religious,Major Cities of Australia,"$972,291"
Amana Living EACH Dementia - Metro South West,416 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan South West,Home Care Places,,,15,,Amana Living Incorporated,Religious,Major Cities of Australia,"$545,623"
Amana Living Kalgoorlie L1 & 2,173 Wilson Street,,SOUTH KALGOORLIE,WA,6430,Goldfields,Home Care Places,,15,,,Amana Living Incorporated,Religious,Outer Regional Australia,"$69,092"
Amana Living Kalgoorlie L3 & 4,173 Wilson Street,,SOUTH KALGOORLIE,WA,6430,Goldfields,Home Care Places,,,14,,Amana Living Incorporated,Religious,Outer Regional Australia,"$383,578"
Amana Living Metro East L3 & 4,416 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan East,Home Care Places,,,25,,Amana Living Incorporated,Religious,Major Cities of Australia,"$768,123"
Amana Living Metro North & East L1 & 2,416 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan North,Home Care Places,,122,,,Amana Living Incorporated,Religious,Major Cities of Australia,"$1,091,488"
Amana Living Metro North L3 & 4,489 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan North,Home Care Places,,,57,,Amana Living Incorporated,Religious,Major Cities of Australia,"$1,571,697"
Amana Living Metro South East L1 & 2,416 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan South East,Home Care Places,,18,,,Amana Living Incorporated,Religious,Major Cities of Australia,"$111,502"
Amana Living Metro South East L3 & 4,416 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan South East,Home Care Places,,,41,,Amana Living Incorporated,Religious,Major Cities of Australia,"$1,155,281"
Amana Living Metro South West L1 & 2,416 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan South West,Home Care Places,,38,,,Amana Living Incorporated,Religious,Major Cities of Australia,"$316,570"
Amana Living Metro South West L3 & 4,416 Stirling Highway,,COTTESLOE,WA,6011,Metropolitan South West,Home Care Places,,,50,,Amana Living Incorporated,Religious,Major Cities of Australia,"$1,329,772"
Amana Transition Care Service,99 McCabe Street,,MOSMAN PARK,WA,6012,Metropolitan North,Transition Care,,,,65,Government of Western Australia,State Government,Major Cities of Australia,"$3,894,963"
Amaroo Aged Care Facility,62-70 Dudley Road,,CHARLESTOWN,NSW,2290,Hunter,Residential,95,,,,Hunter Valley Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,260,402"
Amaroo Community Care Services CACP,2 Wreford Court,,GOSNELLS,WA,6110,Metropolitan South East,Home Care Places,,20,,,Amaroo Care Services Inc,Community Based,Major Cities of Australia,"$214,513"
Amaroo Gardens - Aged Care Facility,811 Burwood Highway,,FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,102,,,,Wickro Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,204,141"
Amaroo Lodge Nursing Home,36 WEIR Street,,EUROA,VIC,3666,Hume,Residential,75,,,,Euroa Health Inc,Community Based,Inner Regional Australia,"$3,400,183"
Amaroo Village Buckley Caring Centre,60 Stalker Road,,GOSNELLS,WA,6110,Metropolitan South East,Residential,81,,,,Amaroo Care Services Inc,Community Based,Major Cities of Australia,"$4,375,119"
Amaroo Village McMahon Caring Centre,74 Lissiman Street,,GOSNELLS,WA,6110,Metropolitan South East,Residential,92,,,,Amaroo Care Services Inc,Community Based,Major Cities of Australia,"$6,263,405"
Amber Aged Care,58 Avenue Road,,PARADISE,SA,5075,Metropolitan East,Residential,32,,,,Amber Aged Care Inc,Community Based,Major Cities of Australia,"$1,419,080"
Amberlea Aged Care Facility,5 Pearson Road,,DROUIN,VIC,3818,Gippsland,Residential,91,,,,Alliance Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$5,253,769"
Amelia House Services,43 Crown Street,,HOLLAND PARK WEST,QLD,4121,Brisbane South,Home Care Places,,45,,,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,Religious,Major Cities of Australia,"$541,247"
Aminya Village Hostel, ADELAIDE ROAD,,MANNUM,SA,5238,Riverland,Residential,32,,,,Mid Murray Homes for the Aged Inc,Community Based,Inner Regional Australia,"$1,728,916"
Amoonguna Aged Care,Amoonguna Community,,AMOONGUNA,NT,872,Alice Springs,Home Care Places,,6,,,MacDonnell Regional Council,Local Government,Remote Australia,"$83,301"
Ampilatwatja Aged Care Services,South Street,,AMPILATWATJA,NT,872,Alice Springs,Home Care Places,,5,,,Barkly Regional Council,Local Government,Very Remote Australia,"$69,781"
Anam Cara,52 Lavarack Road,,BRAY PARK,QLD,4500,Cabool,Residential,105,,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,"$6,466,569"
Ananda Aged Care Findon,2 Malken Way,,FINDON,SA,5023,Metropolitan West,Residential,67,,,,K N H Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,613,466"
Ananda Hope Valley Residential Care,95-97 Awoonga Road,,HOPE VALLEY,SA,5090,Metropolitan North,Residential,137,,,,Prabhash Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$8,805,716"
Andrew Kerr Frail & Aged Care Complex - Community Care Packages,67-69 Tanti Avenue,,MORNINGTON,VIC,3931,Southern Metro,Home Care Places,,30,,,Andrew Kerr Care Ltd,Community Based,Major Cities of Australia,"$424,436"
Andrew Kerr Frail And Aged Care Complex,67-69 Tanti Avenue,,MORNINGTON,VIC,3931,Southern Metro,Residential,117,,,,Andrew Kerr Care Ltd,Community Based,Major Cities of Australia,"$5,174,091"
Andrewartha Aged Care,4 Gibb Road,,ALDGATE,SA,5154,"Hills, Mallee & Southern",Residential,30,,,,Stirling District Hospital Inc,Community Based,Major Cities of Australia,"$1,419,151"
Andrews House,42 School Road,,TRAFALGAR,VIC,3824,Gippsland,Residential,50,,,,West Gippsland Healthcare Group,State Government,Inner Regional Australia,"$3,003,999"
Andrina Aged Care,80 William Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Residential,50,,,,Kwok Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,963,094"
Anglesea Residential Aged Care Facility,5 Weir Street,,ANGLESEA,VIC,3230,Barwon-South Western,Residential,60,,,,Aged Care Services 33 (Anglesea) Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$3,482,312"
Anglican Care Bishop Tyrrell Place,60 Princes Street,,CUNDLETOWN,NSW,2430,Mid North Coast,Residential,75,,,,Anglican Care,Charitable,Inner Regional Australia,"$3,523,200"
Anglican Care C A Brown,105 TORONTO Road,,BOORAGUL,NSW,2284,Hunter,Residential,120,,,,Anglican Care,Charitable,Major Cities of Australia,"$6,133,290"
Anglican Care Carey Bay Gardens,36 Laycock Street,,CAREY BAY,NSW,2283,Hunter,Residential,91,,,,Anglican Care,Charitable,Major Cities of Australia,"$4,776,222"
Anglican Care Greenmount Gardens,4 Bristol Close,,MOUNT HUTTON,NSW,2290,Hunter,Residential,42,,,,Anglican Care,Charitable,Major Cities of Australia,"$1,442,596"
Anglican Care Home Care Lake Macquarie,87 Toronto Road,,BOORAGUL,NSW,2284,Hunter,Home Care Places,,101,,,Anglican Care,Charitable,Major Cities of Australia,"$1,373,893"
Anglican Care Home Care Taree,The Storm Retirement Village,109 Cowper Street,TAREE,NSW,2430,Mid North Coast,Home Care Places,,34,6,,Anglican Care,Charitable,Inner Regional Australia,"$366,169"
Anglican Care Home Care Wyong,171 Mataram Road,,WOONGARRAH,NSW,2259,Central Coast,Home Care Places,,69,7,,Anglican Care,Charitable,Major Cities of Australia,"$815,790"
Anglican Care Home Care Wyong,171 Mataram Road,,WOONGARRAH,NSW,2259,Central Coast,Home Care Places,,,6,,Anglican Care,Charitable,Major Cities of Australia,"$295,387"
Anglican Care Home Care Wyong,171 Mataram Road,,WOONGARRAH,NSW,2259,Central Coast,Home Care Places,,,17,,Anglican Care,Charitable,Major Cities of Australia,"$783,376"
Anglican Care Jesmond Grove,101 Mordue Parade,,JESMOND,NSW,2299,Hunter,Residential,86,,,,Anglican Care,Charitable,Major Cities of Australia,"$3,878,630"
Anglican Care McIntosh Court,105 TORONTO Road,,BOORAGUL,NSW,2284,Hunter,Residential,63,,,,Anglican Care,Charitable,Major Cities of Australia,"$3,599,974"
Anglican Care Scenic Lodge Merewether,251 SCENIC Drive,,MEREWETHER HEIGHTS,NSW,2291,Hunter,Residential,57,,,,Anglican Care,Charitable,Major Cities of Australia,"$1,397,329"
Anglican Care Storm Village,109 Cowper Street,,TAREE,NSW,2430,Mid North Coast,Residential,117,,,,Anglican Care,Charitable,Inner Regional Australia,"$5,283,542"
Anglican Care Toronto Nursing Home,18 Warhurst Avenue,,TORONTO,NSW,2283,Hunter,Residential,60,,,,Anglican Care,Charitable,Major Cities of Australia,"$3,814,594"
Anglican Care Warnervale Gardens,147 Mataram Road,,WOONGARRAH,NSW,2259,Central Coast,Residential,66,,,,Anglican Care,Charitable,Major Cities of Australia,"$2,350,458"
Anglicare Community Aged Care - Illawarra,29 A MCGRATH Street,,FAIRY MEADOW,NSW,2519,Illawarra,Home Care Places,,30,8,,Sydney Anglican Home Mission Society Council,Charitable,Major Cities of Australia,"$335,639"
Anglicare Community Aged Care - Inner West,1 Sloane Street,,SUMMER HILL,NSW,2130,Inner West,Home Care Places,,7,14,,Sydney Anglican Home Mission Society Council,Charitable,Major Cities of Australia,"$57,446"
Anglicare Community Aged Care - Nepean,155 a March Street,,RICHMOND,NSW,2753,Nepean,Home Care Places,,55,33,,Sydney Anglican Home Mission Society Council,Charitable,Major Cities of Australia,"$826,147"
Anglicare Community Aged Care - Northern Sydney,Unit-22/14 Roadborough Road,,FRENCH'S FOREST,NSW,2086,Northern Sydney,Home Care Places,,8,20,,Sydney Anglican Home Mission Society Council,Charitable,Major Cities of Australia,"$8,071"
Anglicare Community Aged Care - South East Sydney,15 Lenna Place,,JANNALI,NSW,2226,South East Sydney,Home Care Places,,69,9,,Sydney Anglican Home Mission Society Council,Charitable,Major Cities of Australia,"$441,677"
Anglicare Community Aged Care - South West Sydney,40 Cumberland Street,,CABRAMATTA,NSW,2166,South West Sydney,Home Care Places,,12,20,,Sydney Anglican Home Mission Society Council,Charitable,Major Cities of Australia,"$20,532"
Anglicare Community Aged Care - Southern Highlands,5/274 Argyle Street,,MOSS VALE,NSW,2577,Southern Highlands,Home Care Places,,11,10,,Sydney Anglican Home Mission Society Council,Charitable,Inner Regional Australia,"$25,935"
Anglicare Community Aged Care - Western Sydney,91A Kurrajong Avenue,,MOUNT DRUITT,NSW,2770,Western Sydney,Home Care Places,,16,16,,Sydney Anglican Home Mission Society Council,Charitable,Major Cities of Australia,"$12,145"
Anglicare NT,Commonwealth Offices,6 Chesterfield Circuit,NHULUNBUY,NT,880,East Arnhem,Home Care Places,,5,,,Anglicare NT,Religious,Very Remote Australia,"$96,650"
Anglicare SA Central & Eastern Care At Home CACP,159 Port Road,,HINDMARSH,SA,5007,Metropolitan East,Home Care Places,,20,6,,Anglicare SA Inc,Religious,Major Cities of Australia,"$253,529"
Anglicare SA Home Care Gawler,159 Port Road,,HINDMARSH,SA,5007,"Yorke, Lower North & Barossa",Home Care Places,,35,10,,Anglicare SA Inc,Religious,Major Cities of Australia,"$51,177"
Anglicare SQ Abri Home for the Aged,38 A Bauer Street,,SOUTHPORT,QLD,4215,South Coast,Residential,75,,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$3,470,393"
Anglicare SQ Caboolture,Suite 2/69 King Street,,CABOOLTURE,QLD,4510,Cabool,Home Care Places,,45,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$412,719"
Anglicare SQ Caboolture EACH,Suite 2/ 69 King Street,,CABOOLTURE,QLD,4510,Cabool,Home Care Places,,10,48,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$746,965"
Anglicare SQ Caboolture EACH D,2/ 69 King Street,,CABOOLTURE,QLD,4510,Cabool,Home Care Places,,,10,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$468,065"
Anglicare SQ Edwin Marsden Tooth Memorial Home for Aged,162  OCEANA TERRACE,,LOTA,QLD,4179,Brisbane South,Residential,64,,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$4,054,442"
Anglicare SQ Gold Coast,"Suit 3, East Quay",34 - 36 Glenferrie Drive,ROBINA,QLD,4226,South Coast,Home Care Places,,100,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$1,075,770"
Anglicare SQ Gold Coast EACH,"Suit 3, East Quay",34-36 Glenferrie Drive,ROBINA,QLD,4226,South Coast,Home Care Places,,,20,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$887,699"
Anglicare SQ Gold Coast EACH D,36 GLENFERRIE Drive,,ROBINA,QLD,4226,South Coast,Home Care Places,,,10,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$464,221"
Anglicare SQ Kirami Home for the Aged,12 Banksia Street,,POINT VERNON,QLD,4655,Wide Bay,Residential,50,,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Inner Regional Australia,"$2,610,381"
Anglicare SQ Logan Branch,"Unit 6, 3-9 University Drive",,MEADOWBROOK,QLD,4131,Logan River Valley,Home Care Places,,30,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$390,604"
Anglicare SQ Logan Branch EACH,"Unit 6, 3-9 University Drive",,MEADOWBROOK,QLD,4131,Logan River Valley,Home Care Places,,,10,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$479,001"
Anglicare SQ Logan EACH D,"Unit 6, 3-9 University Drive",,MEADOWBROOK,QLD,4131,Logan River Valley,Home Care Places,,,10,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$491,372"
Anglicare SQ Meilene Home for the Aged,19  MEILENE STREET,,KALKIE,QLD,4670,Wide Bay,Residential,52,,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Inner Regional Australia,"$3,144,195"
Anglicare SQ Metro North,2027 SANDGATE Road,,VIRGINIA,QLD,4014,Brisbane North,Home Care Places,,34,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$397,746"
Anglicare SQ Metro North EACH,230 Buckland Road,,NUNDAH,QLD,4012,Brisbane North,Home Care Places,,,10,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$440,954"
Anglicare SQ Metro South,133 Shore Street West,,CLEVELAND,QLD,4163,Brisbane South,Home Care Places,,75,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$866,650"
Anglicare SQ Metro South EACH,138 Juliette Street,,GREENSLOPES,QLD,4120,Brisbane South,Home Care Places,,,15,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$710,263"
Anglicare SQ Metro South EACH D,138 Juliette Street,,GREENSLOPES,QLD,4120,Brisbane South,Home Care Places,,,10,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$471,012"
Anglicare SQ Neilson Home,691 Logan Road,,GREENSLOPES,QLD,4120,Brisbane South,Residential,59,,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Major Cities of Australia,"$3,300,740"
